,section_title,target
127,системный администратор предстоять,0
240,ключевой навык,1
145,владеть работать,1
103,наш условие,4
185,ждеть,1
154,преимущество,3
48,нужный делать,0
221,предлагать,3
162,общий требование,1
0,предстоять заниматься,0
98,нужный знать уметь,1
124,мочь предложить компания,3
189,дополнительный требование,2
23,успешный работа необходимый,1
73,знание,1
85,ваш будущий задача,0
258,знание который являться плюс,2
160,авито ждеть,1
168,задача ждать,0
235,немного задача,0
95,обязательно пригодиться,1
19,приветствоваться,2
38,ждеть тебять,0
55,необходимый навык опыт работа,1
100,пожелание кандидат,2
69,предстоять делать вместе,0
176,заниматься,0
97,наш стек технология,5
4,обязанность,0
109,задача рамка работа проект разработка,0
83,ваш задача,0
65,необходимый навык качество,1
269,наш пожелание будущее коллега,2
78,почему понравиться,3
263,практика это значить решать следующий,0
241,круг ваш обязанность входить,0
186,задача мочь стать твой,0
264,обязательно очень здоровый,1
28,желательный,2
130,пара слово наш стек технология,5
172,обязательно,1
212,стать кандидат нужный,1
6,условие,4
93,ожидать кандидат,1
156,задача который необходимый закрывать,0
36,структура команда,3
218,наш обязанность входить,0
12,плюс,2
217,предстоять работать,0
213,инженер разработчик предстоять,0
170,дополнительный преимущество знакомство секунда,2
214,наш пожелание опыт кандидат,2
89,готовый предложить,3
30,полезный,2
275,точно мочь это справиться,1
39,большой плюс,2
84,наш ожидание,1
88,обязательно большой плюс,2
66,условие плюшка,3
64,почему классный,3
182,наш текущий стек технология,5
105,работа требоваться навык умение,1
206,искать Android разработчик команда задача,0
26,наш пожелание,2
133,личностный качество искать кандидат,1
119,условие труд,4
227,ждать инженер DevOps уровень Junior++,1
135,график работа,4
77,дополнительный плюс,2
54,технический компетенция,1
29,делать,0
80,понадобиться,1
132,опыт кандидат хотеться видеть,1
128,радость предложить,3
37,предстоять делать,0
246,роль ждать,1
179,ml ый задача стоять,0
62,успешный данный роль необходимый,1
117,основной обязанность – обеспечение высокий,0
270,технологический стек,5
192,мочь предложить,3
153,основной обязанность,0
49,простой наличие опыт компетенция следующий,1
150,желательный навык,2
184,наш стек,5
90,технология использовать,5
16,3 использовать технология,5
50,ожидать,1
242,требоваться опыт работа,1
157,знание который необходимый реализовать наш,1
40,почему понравиться нас​​​​​​​,3
178,Humans ценить каждый сотрудник предлагать,3
81,задача решать,0
249,Зaдaчo,0
196,хотеть видеть ваш опыт,1
255,задача разработчик Process Mining являться,0
57,искать аналитик который,1
27,условие работа,4
195,предлагать следующий задача,0
3,предлагать,3
276,наш стек автоматизация тестирование,5
252,опыт администрирование Linux установка переустановка,1
256,выполнение задача проект Process Mining,0
165,нужный знать,1
24,задача который предстоять решать,0
110,ожидать наш будущее коллега аналитик,1
158,опыт хотеть видеть кандидат,1
20,большой плюс работать технология перечислить,2
237,предоставить,3
173,приятный бонус,3
35,делать проект команда,3
200,предстоять задача,0
96,почему,3
203,обязательный,1
138,вариант обучение развитие,3
59,требовать,1
74,являться преимущество,2
175,ожидание кандидат,1
52,работа это,0
209,хотеть видеть,1
260,ждать наш будущий коллега,1
76,личный профессиональный качество искать,1
10,ключевой задача,0
228,знать,1
22,задача входить,0
247,ваш функция,0
215,функционал,0
68,стек использовать технология,5
152,требование искомый работник должность программист,1
47,плюс навык работа,2
86,наш преимущество,3
56,задача,0
18,ждеть кандидат,1
232,хотеть видеть свой команда,1
21,работа регулярно встречать взаимодействовать следующий,0
273,свой сторона предлагать,3
118,требование кандидат,1
114,основной направление деятельность,0
257,необходимый действие,1
87,кандидат ждеть,1
108,задача рамка работа проект стадия,0
75,дополнительно,2
149,работа необходимый,1
70,требоваться,1
60,бонус,3
171,основной инструмент технология который использовать,5
216,опыт который хотеть,1
262,планировать делать,0
199,рад видеть наш команда,1
106,основной задача,0
82,ждать кандидат,1
169,ждеть разработчик,1
136,будущий задача,0
188,это предлагать,3
134,наш пожелание это уметь хороший,2
211,услевие,4
102,требование соискатель,1
46,проф навык,1
231,опыт работа область автоматизация тестирование,1
198,ценить,1
250,Требсвaния,1
91,разработчик нужный,1
220,искать кандидат 7 летний опыт,1
79,наш команда мочь,3
121,идеал,1
163,обязательный требование,1
31,делать команда,3
116,подходить,1
177,вакансия иметь,1
180,инженерный задача стоять,0
107,искать человек который,1
7,ограничить текущий стек всякий пара,5
11,важный,1
164,искать специалист автоматизировать тестирование который,1
244,каждый галочка отсюда – дополнительный,2
144,работать,0
191,наш пожелание специалист,2
251,задача включать,0
58,конкретно предстоять заниматься,0
201,использовать,1
226,наш команда,3
51,предстоять,0
101,должностной обязанность,1
112,возможность обучение рост,3
159,почему отлично работать,3
131,делать данный позиция основа,0
194,нужный уметь,1
113,возможность посещение участие мероприятие,3
125,работа Mail.ru Group это,3
5,требование,1
167,стандартный бонус банк,3
161,необязательный крутой,2
63,твой опыт важный,1
141,навык это требоваться,1
9,почему это крутой,3
219,пать описание требование кандидат,1
1,ждать,1
181,наш будущий коллега выглядеть наш,1
61,обязанность член команда входить,0
120,являться ваш преимущество,2
193,твой обязанность входить,0
