,vacancy_id,section_id,section_title,section_body,target
1,39564357,1,предстоять заниматься,разработка приложение язык Java Jakarta E SQL NET,0
2,39564357,1,предстоять заниматься,применение REST подход разработка API,0
3,39564357,1,предстоять заниматься,разработка модификация структура база данные SQL PostgreSQL,0
4,39564357,1,предстоять заниматься,работа предметно ориентировать среда разработка,0
5,39564357,1,предстоять заниматься,приемка код внешний поставщик решение,0
6,39564357,2,ждать,опыт внедрение администрирование платформа ActiveFrame 5 программный приложение CMJ Company,1
7,39564357,2,ждать,знание алгоритмизация знание любой язык программирование предпочтительный NET SQL Java,1
8,39564357,2,ждать,опыт построение система управление контент предприятие 3 год,1
9,39564357,2,ждать,высший образование ит прикладной математика т.п.,1
10,39564357,2,ждать,опыт разработка Wild Fly,1
11,39564357,2,ждать,опыт написание unit тест,1
12,39564357,2,ждать,опыт работа XML JSON SOAP,1
13,39564357,2,ждать,опыт работа Git SVN Maven Gradle,1
14,39564357,2,ждать,опыт проработка архитектура решение умение обосновывать свой выбор,1
15,39564357,2,ждать,опыт разработка микросервис,1
16,39564357,2,ждать,опыт разработка распределить высоконагруженный система,1
17,39564357,2,ждать,опыт работа база данные,1
18,39564357,2,ждать,активный участие решение архитектурный вопрос,1
19,39564357,2,ждать,знание ооп понимание основной принцип разработка по.,1
20,39564357,3,знание система класс решение,интеграционный решение Rabit Kafka ИБМ MQ Kong,1
21,39564357,3,знание система класс решение,Веб сервер Nginx,1
22,39564357,3,знание система класс решение,сервер приложение Spring boot Tomcat Jetty,1
23,39564357,3,знание система класс решение,DB MSSQL Oracle PL SQL PostgreSql Cassandra MongoDB,1
24,39564357,3,знание система класс решение,контейнеризация Kubernetes Docker Rancher,1
25,39564357,4,предлагать,официальный оформление тк рф,3
26,39564357,4,предлагать,полный социальный пакет,3
27,39564357,4,предлагать,возможность выбрать время начало окончание работа,3
28,39564357,4,предлагать,дмс испытательный срок,3
29,39564357,4,предлагать,комфортный офис,3
30,39564357,4,предлагать,команда эксперт,3
31,39564357,4,предлагать,возможность профессиональный развитие карьерный рост,3
32,39585579,0,обязанность,администрирование развитие IT инфраструктура агентство,0
33,39585579,0,обязанность,администрирование схд сервер Windows,0
34,39585579,0,обязанность,поддержание работоспособность специализировать база Windows,0
35,39585579,0,обязанность,администрирование система виртуализация VMware vSphere,0
36,39585579,0,обязанность,поддержка единый схема аутентификация пользователь система база Active Directory,0
37,39585579,0,обязанность,участие разработка выбор внедрение новый ит сервис оптимизация существовать ит,0
38,39585579,0,обязанность,мониторинг доступность производительность система,0
39,39585579,0,обязанность,эксплуатация высоконагруженный интернет сервис,0
40,39585579,0,обязанность,выполнение эскалировать заявка второй линия поддержка,0
41,39585579,1,требование,планирование развертывание администрирование серверный операционный система сервис приложение база Windows,1
42,39585579,1,требование,опыт работа система хранение данные EMC Netapp пр.,1
43,39585579,1,требование,опыт работа SAN NAS сеть,1
44,39585579,1,требование,опыт работа распределить высоконагруженный виртуальный инфраструктура база VMware,1
45,39585579,1,требование,опыт работа Cisco IronPort,1
46,39585579,1,требование,опыт работа Cisco UCS,1
47,39585579,1,требование,знание система резервный копирование Veeam уровень эксперт,1
48,39585579,1,требование,знание следующий почтовый служба уровень эксперт Микрософт Exchange 2013 2016,1
49,39585579,1,требование,знание кистема управление база данные Микрософт SQL 2012 2016 использование,1
50,39585579,1,требование,автоматизация ит процесс задача помощь создание скрипт Powershell большинство случай,1
51,39585579,1,требование,знание принцип работа сеть уровень CCNA,1
52,39585579,1,требование,знание английский язык уровень деловой переписка,1
53,39585579,1,требование,наличие следующий сертификат знание достаточный получение MCSA SQL Server 2012,1
54,39585579,2,условие,стабильность полный соблюдение тк рф комфортный график,4
55,39585579,2,условие,отличный команда – профессионал увлеченный свой дело,4
56,39585579,2,условие,удобный местоположение – офис находиться самый центр москва шаговый доступность,4
57,39585579,2,условие,профессиональный развитие – проходить регулярный семинар тренинг также давать возможность,4
58,39585579,2,условие,комфорт – офис кафе столовая шаговый доступность множество заведение любой,4
64,38304560,1,ограничить текущий стек всякий пара,отдельный фронт TypeScript React Redux,5
65,38304560,1,ограничить текущий стек всякий пара,бэкенд Python Django база Postgres Redis,5
66,38304560,1,ограничить текущий стек всякий пара,админка свой фронт бэк стек,5
67,38304560,2,начало ждать переезд поддомен help.tinkoff.ru,допилить поиск редирект поверх старый проект отдельный сервис,1
